start_date,daily_mape
2024-07-08,4.305453628573564
2024-07-09,5.326126890034492
2024-07-10,4.623396239423632
2024-07-11,3.943374428323564
2024-07-12,2.8861326546780375
2024-07-13,8.960956524558684
2024-07-14,5.844022312658358
2024-07-15,4.8235712165914295
2024-07-16,3.6035805105794965
2024-07-17,4.377092551201259
2024-07-18,3.2293604082644296
2024-07-19,3.538519499097834
2024-07-20,2.78838525777053
2024-07-21,3.4957428124561325
2024-07-22,4.977829964812057
2024-07-23,2.346590445016242
2024-07-24,3.0043319250832194
2024-07-25,3.2940823058391744
2024-07-26,5.043105166744559
2024-07-27,4.01069793072948
2024-07-28,7.400542091766337
2024-07-29,4.684217935928309
2024-07-30,3.662247659766686
2024-07-31,4.6676181735911975
2024-08-01,3.502660787627572
2024-08-02,4.105344283663215
2024-08-03,3.191028928708303
2024-08-04,3.440114945384457
2024-08-05,3.1282326420468514
2024-08-06,2.51886241328555
2024-08-07,2.128648874750157
2024-08-08,3.608679637030599
2024-08-09,2.999574725237364
2024-08-10,7.5839298489328115
2024-08-11,7.03020601767611
2024-08-12,2.37191225340113
2024-08-13,3.8419583527498973
2024-08-14,6.743795942260367
2024-08-15,5.745287509912072
2024-08-16,4.1502864276430245
2024-08-17,7.036599292018586
2024-08-18,5.3841502821229
2024-08-19,1.9751440697813998
2024-08-20,3.4971089923598218
2024-08-21,5.350971422675983
2024-08-22,2.2866272881643614
2024-08-23,3.6075206456063342
2024-08-24,7.94033444235622
2024-08-25,10.337246712966992
2024-08-26,3.2425459344954426
2024-08-27,2.9257024349450393
2024-08-28,2.9848923461928187
2024-08-29,4.897571086332923
2024-08-30,4.437037801550624
2024-08-31,4.352958414946715
2024-09-01,5.538870343690164
2024-09-02,3.653315949025263
2024-09-03,3.6903997311502663
2024-09-04,5.906075302942091
2024-09-05,4.7421322045927505
2024-09-06,3.255565576983761
2024-09-07,5.879505391921121
2024-09-08,6.46371000910558
2024-09-09,4.61095824559672
2024-09-10,3.9183750323171727
2024-09-11,5.791484548002071
2024-09-12,1.8003576581711451
2024-09-13,3.969821271780726
2024-09-14,4.647361574111746
2024-09-15,3.5865981026532374
2024-09-16,4.51569084646945
2024-09-17,4.469713451894692
2024-09-18,3.1992865803616533
2024-09-19,2.0797827377911537
2024-09-20,2.7543793911445746
2024-09-21,2.64896305818851
2024-09-22,4.054951292145887
2024-09-23,2.3112362894441567
2024-09-24,2.1656902529802697
2024-09-25,2.7272174937825873
2024-09-26,6.832153842606029
2024-09-27,6.671121281390417
2024-09-28,6.159441388593791
2024-09-29,3.817163012532724
2024-09-30,4.5357632277997615
2024-10-01,2.917567049423609
2024-10-02,3.336053291359006
2024-10-03,4.348473033821097
2024-10-04,2.7024639737112253
2024-10-05,3.016947138958576
2024-10-06,2.596630344010387
2024-10-07,4.485143932433508
2024-10-08,3.997171206522884
2024-10-09,3.752760061409795
2024-10-10,5.433342993883972
2024-10-11,4.927287070967074
2024-10-12,3.3505189123623498
2024-10-13,4.087782104802398
2024-10-14,3.8583643884923493
2024-10-15,4.03185737051901
2024-10-16,6.163873401182055
2024-10-17,4.944738585258773
2024-10-18,2.0504286203925943
2024-10-19,3.0898991770154076
2024-10-20,5.274794088166285
2024-10-21,3.0564038290442994
2024-10-22,4.548095905975156
2024-10-23,4.353210437185297
2024-10-24,6.011737409305191
2024-10-25,3.4956461701899832
2024-10-26,12.401118240004676
2024-10-27,4.714397804318611
2024-10-28,5.693531114914151
2024-10-29,15.267206108908255
2024-10-30,18.05296977083952
2024-10-31,12.386728722974178
2024-11-01,3.2801225399721865
2024-11-02,20.514572405933
2024-11-03,19.791108534637505
2024-11-04,16.54641026569664
2024-11-05,18.490605444209802
2024-11-06,15.147141848253673
2024-11-07,7.261587423485943
2024-11-08,1.5228041393276708
2024-11-09,3.0517869737375514
2024-11-10,4.496569510243147
2024-11-11,4.342986334598639
2024-11-12,2.9634049300096685
2024-11-13,1.8408344117224837
2024-11-14,3.0698466667807405
2024-11-15,2.725479228202403
2024-11-16,2.40536078740393
2024-11-17,2.8494284337994205
2024-11-18,3.2384567877220314
2024-11-19,1.769175187895474
2024-11-20,2.0204270123569654
2024-11-21,1.4033663982945275
2024-11-22,4.685245607649403
2024-11-23,3.205888934494535
2024-11-24,4.447086780880636
2024-11-25,2.2858961383436864
2024-11-26,2.2270396759726974
2024-11-27,4.206490948686214
2024-11-28,3.3710371399326697
2024-11-29,2.7713178242988263
2024-11-30,4.882336422942212
2024-12-01,3.4137479056583255
2024-12-02,5.273969773588328
2024-12-03,3.9084718697065584
2024-12-04,6.840319152469867
2024-12-05,2.37055547569835
2024-12-06,4.782120017428963
2024-12-07,3.0361224347431786
2024-12-08,4.482673127431325
2024-12-09,1.5962650650132282
2024-12-10,2.2390088418312266
2024-12-11,4.7330799252880125
2024-12-12,4.569244988881128
2024-12-13,7.6947295287865805
2024-12-14,2.130445101756347
2024-12-15,2.864589446465347
2024-12-16,1.6308391167318905
2024-12-17,2.8774614082226755
2024-12-18,1.9856052305845988
2024-12-19,3.252146584402656
2024-12-20,2.7051908702605565
2024-12-21,2.4246965997645895
2024-12-22,3.4508313034395903
2024-12-23,8.684564997281965
2024-12-24,6.877071540650107
2024-12-25,4.849705006114179
2024-12-26,2.6699380258070597
2024-12-27,3.3777233092553636
2024-12-28,2.8293673071118484
2024-12-29,3.3291693843985013
2024-12-30,4.49256872578961
