﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Växjö Sol;64565;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timma, varje timme;watt per kvadratmeter
Solskenstid;summa 1 timme, 1 gång/tim;sekund
Långvågs-Irradians;medelvärde 1 timma, varje timme;watt per kvadratmeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-01-01 00:00:00;2025-04-02 08:20:20;182.0;56.9269;14.7305

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet;Långvågs-Irradians;Kvalitet;;Tidsutsnitt:
2015-01-05;16:00:00;0.23;G;0;G;;
2015-01-05;17:00:00;0.00;G;0;G;;
2015-01-05;18:00:00;0.00;G;0;G;;
2015-01-05;19:00:00;0.00;G;0;G;;
2015-01-05;20:00:00;0.00;G;0;G;;
2015-01-05;21:00:00;0.00;G;0;G;;
2015-01-05;22:00:00;0.00;G;0;G;;
2015-01-05;23:00:00;0.00;G;0;G;;
2015-01-06;00:00:00;0.00;G;0;G;;
2015-01-06;01:00:00;0.00;G;0;G;;
2015-01-06;02:00:00;0.00;G;0;G;;
2015-01-06;03:00:00;0.00;G;0;G;;
2015-01-06;04:00:00;0.00;G;0;G;;
2015-01-06;05:00:00;0.00;G;0;G;;
2015-01-06;06:00:00;0.00;G;0;G;;
2015-01-06;07:00:00;0.16;G;0;G;;
2015-01-06;08:00:00;5.94;G;0;G;;
2015-01-06;09:00:00;26.38;G;0;G;;
2015-01-06;10:00:00;62.04;G;0;G;;
2015-01-06;11:00:00;62.27;G;0;G;;
2015-01-06;12:00:00;61.02;G;0;G;;
2015-01-06;13:00:00;63.36;G;0;G;;
2015-01-06;14:00:00;35.79;G;0;G;;
2015-01-06;15:00:00;3.99;G;0;G;;
2015-01-06;16:00:00;0.12;G;0;G;;
2015-01-06;17:00:00;0.00;G;0;G;;
2015-01-06;18:00:00;0.00;G;0;G;;
2015-01-06;19:00:00;0.00;G;0;G;;
2015-01-06;20:00:00;0.00;G;0;G;;
2015-01-06;21:00:00;0.00;G;0;G;;
2015-01-06;22:00:00;0.00;G;0;G;;
2015-01-06;23:00:00;0.00;G;0;G;;
2015-01-07;00:00:00;0.00;G;0;G;;
2015-01-07;01:00:00;0.00;G;0;G;;
2015-01-07;02:00:00;0.00;G;0;G;;
2015-01-07;03:00:00;0.00;G;0;G;;
2015-01-07;04:00:00;0.00;G;0;G;;
2015-01-07;05:00:00;0.00;G;0;G;;
2015-01-07;06:00:00;0.00;G;0;G;;
2015-01-07;07:00:00;0.01;G;0;G;;
2015-01-07;08:00:00;1.48;G;0;G;;
2015-01-07;09:00:00;6.87;G;0;G;;
2015-01-07;10:00:00;24.93;G;0;G;;
2015-01-07;11:00:00;21.85;G;0;G;;
2015-01-07;12:00:00;36.35;G;0;G;;
2015-01-07;13:00:00;37.40;G;0;G;;
2015-01-07;14:00:00;19.73;G;0;G;;
2015-01-07;15:00:00;5.11;G;0;G;;
2015-01-07;16:00:00;0.23;G;0;G;;
2015-01-07;17:00:00;0.00;G;0;G;;
2015-01-07;18:00:00;0.00;G;0;G;;
2015-01-07;19:00:00;0.00;G;0;G;;
2015-01-07;20:00:00;0.00;G;0;G;;
2015-01-07;21:00:00;0.00;G;0;G;;
2015-01-07;22:00:00;0.00;G;0;G;;
2015-01-07;23:00:00;0.00;G;0;G;;
2015-01-08;00:00:00;0.00;G;0;G;;
2015-01-08;01:00:00;0.00;G;0;G;;
2015-01-08;02:00:00;0.00;G;0;G;;
2015-01-08;03:00:00;0.00;G;0;G;;
2015-01-08;04:00:00;0.00;G;0;G;;
2015-01-08;05:00:00;0.00;G;0;G;;
2015-01-08;06:00:00;0.00;G;0;G;;
2015-01-08;07:00:00;0.01;G;0;G;;
2015-01-08;08:00:00;0.33;G;0;G;;
2015-01-08;09:00:00;6.60;G;0;G;;
2015-01-08;10:00:00;19.10;G;0;G;;
2015-01-08;11:00:00;21.60;G;0;G;;
2015-01-08;12:00:00;19.90;G;0;G;;
2015-01-08;13:00:00;16.74;G;0;G;;
2015-01-08;14:00:00;6.84;G;0;G;;
2015-01-08;15:00:00;1.52;G;0;G;;
2015-01-08;16:00:00;0.28;G;0;G;;
2015-01-08;17:00:00;0.00;G;0;G;;
2015-01-08;18:00:00;0.00;G;0;G;;
2015-01-08;19:00:00;0.00;G;0;G;;
2015-01-08;20:00:00;0.00;G;0;G;;
2015-01-08;21:00:00;0.00;G;0;G;;
2015-01-08;22:00:00;0.00;G;0;G;;
2015-01-08;23:00:00;0.00;G;0;G;;
2015-01-09;00:00:00;0.00;G;0;G;;
2015-01-09;01:00:00;0.00;G;0;G;;
2015-01-09;02:00:00;0.00;G;0;G;;
2015-01-09;03:00:00;0.00;G;0;G;;
2015-01-09;04:00:00;0.00;G;0;G;;
2015-01-09;05:00:00;0.00;G;0;G;;
